errors: 0, warnings: 0, exit_state: 0
Time            Diameter        States Found    Distinct States Queue Size      
0:00:01         0               1               1               1               
0:00:04         13              174831          75683           50091           
0:01:04         17              7982647         2936337         1848706         
0:02:04         17              15511652        5503781         3406125         
0:03:04         18              23213807        8152565         5016472         
0:04:04         18              30676474        10656159        6498904         
0:05:04         18              38386670        13054989        7883167         
0:06:04         18              46196579        15521418        9379572         
0:07:04         19              53538816        17947927        10749996        
0:08:04         19              61037076        20476803        12261823        
0:09:04         19              68474404        22936618        13750835        
0:10:04         19              75985290        25255780        14968800        
0:11:04         19              83562564        27571338        16364871        
0:12:04         19              91118331        29666774        17412088        
0:13:04         19              98706942        31994682        18753815        
0:14:04         19              106368265       34311276        20111387        
0:15:04         19              113893093       36590517        21424244        
0:16:04         20              121531230       38885073        22648656        
0:17:04         20              129041388       41187673        23818339        
0:18:04         20              136445205       43702403        25361031        
0:19:04         20              143853525       46061600        26710966        
0:20:04         20              151206374       48426248        28056562        
0:21:04         20              158634203       50798737        29420854        
0:22:04         20              165693513       53026148        30733738        
0:23:04         20              173010392       55190711        31924513        
0:24:04         20              180429968       57369434        32959937        
0:25:04         20              187899715       59582864        34144907        
0:26:04         20              195487867       61759188        35388059        
0:27:04         20              202974533       63865478        36554346        
0:28:04         20              210537533       65782988        37488030        
0:29:04         20              217920837       67771797        38411274        
0:30:04         20              225301718       69923822        39492650        
0:31:04         20              232879560       72217539        40866652        
0:32:04         20              240383981       74332423        41998069        
0:33:04         20              247935218       76515498        43234723        
0:34:04         20              255411214       78567613        44322944        
0:35:04         20              262696469       80750947        45517066        
0:36:04         20              270138524       82797690        46593166        
0:37:04         20              277756034       84884516        47717120        
0:38:04         21              285217741       87147413        48902402        
0:39:04         21              292934225       89146257        49705054        
0:40:04         21              300267160       91348212        50733510        
0:41:04         21              307518703       93673683        52000609        
0:42:04         21              314804924       96106469        53526685        
0:43:04         21              322090589       98385666        54825802        
0:44:04         21              329426700       100602814       56047906        
0:45:04         21              336677406       102716042       57156167        
0:46:04         21              343913839       104890486       58207850        
0:47:04         21              351192808       107206493       59571099        
0:48:04         21              358443197       109488987       60850355        
0:49:04         21              365762539       111689926       61973971        
0:50:04         21              372986629       113861545       63223961        
0:51:04         21              380349018       115998705       64450310        
0:52:04         21              387638122       118161509       65598280        
0:53:04         21              395003326       120268616       66690068        
0:54:04         21              402154884       122292033       67752010        
0:55:04         21              409366082       124239763       68705992        
0:56:04         21              416555949       126232203       69514303        
0:57:04         21              423965197       128207436       70364172        
0:58:04         21              431270392       130386523       71534946        
0:59:04         21              438609787       132409225       72640448        
1:00:05         21              446194555       134419301       73672221        
1:01:05         21              453501758       136389078       74733779        
1:02:05         21              460880133       138137483       75520658        
1:03:05         21              468194200       140199622       76649408        
1:04:05         21              475286332       142125357       77669421        
1:05:05         21              482811238       143865928       78396068        
1:06:05         21              490147144       145582670       79099782        
1:07:05         21              497253040       147465023       79920841        
1:08:05         21              504500041       149381735       80694244        
1:09:05         21              511808659       151441990       81757096        
1:10:05         21              519174082       153619744       83024437        
1:11:05         21              526568741       155733188       84213044        
1:12:05         21              533955540       157664008       85193273        
1:13:05         21              541357046       159630814       86182665        
1:14:05         21              548729893       161707644       87283887        
1:15:05         21              556210977       163730164       88367218        
1:16:05         21              563672271       165660966       89298444        
1:17:05         21              570890753       167576183       90270410        
1:18:05         21              578203097       169419141       91147092        
1:19:05         21              585296253       171389754       92106321        
1:20:05         21              592531591       173499961       93194534        
1:21:05         21              599594738       175271733       93948242        
1:22:05         21              606371735       177085451       94881944        
1:23:05         21              613767567       178979568       95812601        
1:24:05         21              621277335       180923037       96783992        
1:25:05         21              628743928       182821506       97697411        
1:26:05         21              635935015       185088746       98967795        
1:27:05         22              643230695       187100067       99830863        
1:28:05         22              650875664       188947636       100448975       
1:29:05         22              658357069       190589603       100896827       
1:30:06         22              665616299       192814964       101844343       
1:31:06         22              672697616       194894065       102894701       
1:32:06         22              679792488       197153972       104068145       
1:33:06         22              686836595       199350274       105288088       
1:33:31         22              688819813       200000032       105688701       
