Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         13              57595           24544           16250           
0:01:03         16              2220833         870919          568305          
0:02:03         17              4348184         1660861         1076601         
0:03:03         17              6494203         2446378         1573305         
0:04:03         18              8620506         3194435         2037635         
0:05:03         18              10679546        3937421         2515373         
0:06:03         18              12802723        4683775         2980332         
0:07:03         18              14912437        5400315         3406153         
0:08:03         18              17004578        6128076         3849766         
0:09:03         18              19181243        6861912         4314971         
0:10:03         19              21273830        7568050         4738145         
0:11:03         19              23344330        8260633         5142155         
0:12:03         19              25391418        8995530         5599096         
0:13:03         19              27400214        9685153         6029861         
0:14:03         19              29448745        10377670        6468497         
0:15:03         19              31488349        11054833        6886597         
0:16:03         19              33579260        11714544        7250337         
0:17:03         19              35700993        12461137        7718580         
0:18:03         19              37786121        13096745        8080047         
0:19:03         19              39844736        13764033        8452959         
0:20:03         19              41876058        14456296        8873192         
0:21:03         19              43966968        15166916        9306814         
0:22:03         19              46077794        15868993        9718509         
0:23:03         19              48157946        16571633        10163369        
0:24:03         19              50289040        17241519        10571828        
0:25:03         19              52406449        17836096        10894677        
0:26:03         19              54425201        18459704        11233119        
0:27:03         20              56534905        19200093        11687988        
0:28:03         20              58634011        19885583        12069802        
0:29:03         20              60652078        20514662        12409499        
0:30:03         20              62694692        21169382        12778161        
0:31:03         20              64710086        21849453        13185639        
0:32:03         20              66644671        22520301        13588299        
0:33:03         20              68679354        23202852        13996074        
0:34:03         20              70698516        23850100        14372808        
0:35:03         20              72629110        24478645        14760899        
0:36:03         20              74648217        25117969        15148450        
0:37:03         20              76651703        25757488        15529117        
0:38:03         20              78694343        26418539        15935369        
0:39:03         20              80664415        27022219        16283237        
0:40:03         20              82714250        27652977        16655778        
0:41:03         20              84781826        28292559        17018066        
0:42:03         20              86822097        28882892        17324751        
0:43:03         20              88802076        29555929        17709227        
0:44:03         20              90893695        30252706        18150666        
0:45:03         20              92959438        30926748        18533504        
0:46:03         20              95030484        31555140        18864274        
0:47:04         20              97086876        32147635        19199339        
0:48:04         20              99166949        32678310        19433234        
0:49:04         20              101183328       33357171        19839756        
0:50:04         20              103205510       34008518        20205180        
0:51:04         20              105256103       34719512        20622749        
0:52:04         20              107243221       35368963        21032074        
0:53:04         20              109304621       36013717        21416044        
0:54:04         20              111365751       36711233        21851135        
0:55:04         20              113405956       37339971        22194216        
0:56:04         20              115485664       38020729        22584127        
0:57:04         20              117407276       38610086        22894389        
0:58:04         20              119471596       39288788        23304010        
0:59:04         20              121600178       39939010        23695182        
1:00:04         20              123722200       40606582        24092797        
1:01:04         20              125835648       41265580        24491921        
1:02:04         20              127919518       41865043        24835223        
1:03:04         20              129903143       42401748        25114437        
1:04:04         20              131992334       42977649        25419976        
1:05:04         20              134037999       43510063        25679610        
1:06:04         20              136073481       44118752        25987994        
