Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         10              41733           19374           13752           
0:01:03         13              2560383         1052096         750292          
0:02:04         14              5058599         2033420         1451695         
0:03:04         14              7589166         3045455         2169269         
0:04:04         15              10061200        4009007         2868476         
0:05:04         15              12516811        4954514         3543825         
0:06:04         15              14885856        5870315         4197753         
0:07:04         15              17376144        6798815         4854811         
0:08:04         15              19790977        7756093         5543458         
0:09:04         15              22224131        8719833         6224262         
0:10:04         15              24831287        9717137         6928093         
0:11:04         15              27184441        10609627        7562284         
0:12:04         15              29341167        11420132        8159783         
0:13:04         15              31785759        12356713        8834059         
0:14:04         15              34355845        13319390        9522644         
0:15:04         16              36909581        14300715        10242046        
0:16:04         16              39393086        15229344        10901601        
0:17:04         16              42025840        16192022        11573217        
0:18:04         16              44332112        17077522        12212916        
0:19:04         16              46578046        17954865        12854870        
0:20:04         16              48787073        18791492        13459796        
0:21:04         16              51186153        19680309        14082578        
0:22:04         16              53456837        20535604        14693725        
0:23:04         16              55933058        21428585        15310031        
0:24:04         16              58345266        22336487        15962513        
0:25:04         16              60946030        23270390        16624556        
0:26:04         16              63442691        24165434        17256662        
0:27:04         16              65665436        25021409        17878313        
0:28:04         16              67902917        25907236        18537842        
0:29:04         16              70319182        26843661        19199813        
0:30:04         16              72688367        27783229        19866325        
0:31:04         16              75210005        28763940        20558549        
0:32:04         16              77435340        29636295        21188683        
0:33:04         16              79946161        30570638        21834783        
0:34:04         16              82416569        31503994        22488765        
0:35:04         16              84954977        32448580        23148810        
0:36:04         16              87461049        33385546        23817431        
0:37:04         16              90154469        34362710        24493657        
0:38:04         16              92680730        35296883        25141602        
0:39:04         16              94671709        36018599        25666702        
0:40:04         16              96903764        36850910        26270607        
0:41:04         16              99065257        37647731        26860115        
0:42:04         16              101206908       38427007        27421217        
0:43:04         16              103293875       39188971        27994549        
0:44:04         16              105636802       40052786        28636689        
0:45:04         16              108086285       40964055        29281659        
0:46:04         16              110402333       41840011        29922787        
0:47:04         16              112815467       42735318        30567914        
0:48:04         16              115231185       43623437        31203963        
0:49:04         16              117613586       44488586        31812493        
0:50:04         16              120243204       45468372        32525476        
0:51:04         16              122585911       46311862        33127000        
0:52:04         16              125290440       47300452        33830079        
0:53:04         16              127919991       48282902        34545589        
0:54:04         17              130308599       49165152        35187407        
0:55:04         17              132894004       50130147        35899697        
0:56:04         17              135206012       51015903        36542299        
0:57:04         17              137546507       51856899        37143169        
0:58:04         17              140128988       52823003        37826194        
0:59:04         17              142828307       53806346        38510600        
1:00:04         17              145576275       54771119        39174919        
1:01:04         17              148103457       55695697        39821992        
1:02:04         17              150632051       56599504        40451830        
1:03:04         17              153099135       57494811        41085314        
1:04:04         17              155264287       58302124        41673532        
1:05:04         17              157345356       59111846        42259245        
1:06:04         17              159672339       59960212        42862963        
1:07:04         17              161878666       60789620        43472355        
1:08:04         17              163995212       61601470        44060709        
1:09:04         17              166142755       62418910        44655525        
1:10:04         17              168573132       63334019        45322118        
1:11:04         17              170826093       64164404        45910414        
1:12:04         17              173020455       64980373        46499248        
1:13:04         17              175257561       65805006        47106933        
1:14:04         17              177538318       66635024        47695608        
1:15:04         17              179670909       67403789        48244886        
1:16:04         17              182003672       68256897        48850278        
1:17:04         17              184445057       69138345        49450114        
1:18:04         17              186601426       69962094        50043165        
1:19:04         17              188739910       70756051        50617034        
1:20:04         17              191026354       71584008        51211676        
1:21:04         17              193497511       72452813        51810487        
1:22:04         17              195837144       73311957        52411033        
1:23:04         17              198224479       74153086        53000065        
1:24:05         17              200703619       74995959        53572335        
1:25:05         17              203177573       75921167        54231583        
1:26:05         17              205605535       76839630        54895375        
1:27:05         17              208074391       77722065        55527713        
1:28:05         17              210408160       78553913        56113512        
1:29:05         17              212740850       79388125        56707692        
1:30:06         17              215457827       80311905        57344988        
1:31:06         17              218084868       81244880        58009503        
1:32:06         17              220470889       82081650        58602689        
1:33:06         17              222797750       82910141        59189490        
1:34:06         17              225354246       83798263        59806763        
1:35:06         17              227705835       84626679        60396211        
1:36:06         17              230093093       85515040        61042838        
1:37:06         17              232121263       86277095        61597226        
1:38:06         17              234224552       87067016        62168090        
1:39:06         17              236331729       87860813        62745026        errors: 0, warnings: 0, exit_state: 0

1:40:06         17              238496115       88722070        63392574        
1:41:06         17              240846976       89584673        64005859        
1:42:06         17              242889627       90410256        64639698        
1:43:06         17              245061036       91210353        65243478        
1:44:06         17              247314480       92016629        65815011        
1:45:06         17              249772195       92953746        66464279        
1:46:06         17              252067645       93855189        67106094        
1:47:06         17              254400988       94717786        67700051        
1:48:06         17              256732830       95621265        68350963        
1:49:06         17              259199676       96562864        69014871        
1:50:06         17              261569335       97504715        69682295        
1:51:06         17              263784810       98348766        70275321        
1:52:06         17              266443933       99376542        71007485        
1:52:49         17              268108874       100000034       71443224        
