Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         11              47019           20068           14293           
0:01:03         13              1876192         726574          517445          
0:02:03         14              3702228         1413521         1004779         
0:03:03         14              5539482         2101219         1491183         
0:04:03         14              7439911         2791133         1990205         
0:05:03         15              9267161         3474718         2474338         
0:06:03         15              11138848        4170422         2963729         
0:07:03         15              12971339        4844429         3442487         
0:08:03         15              14864762        5542477         3939346         
0:09:03         15              16665390        6184402         4391666         
0:10:03         15              18486815        6862793         4868596         
0:11:03         15              20469894        7601284         5401025         
0:12:03         15              22383780        8293882         5900958         
0:13:03         15              24331360        8984845         6400728         
0:14:03         15              26174061        9627217         6863473         
0:15:03         16              28019597        10307091        7352691         
0:16:03         16              29872133        10981376        7829434         
0:17:03         16              31707645        11653060        8295161         
0:18:03         16              33588166        12367495        8808912         
0:19:03         16              35559915        13105417        9338818         
0:20:03         16              37399171        13759089        9787971         
0:21:03         16              39214327        14406906        10237311        
0:22:03         16              41078351        15069043        10699224        
0:23:03         16              42907198        15715239        11159494        
0:24:03         16              44690682        16383498        11632253        
0:25:03         16              46578666        17072623        12136336        
0:26:03         16              48521458        17763383        12635201        
0:27:03         16              50447178        18464119        13128754        
0:28:03         16              52299952        19150151        13612576        
0:29:03         16              54206939        19845355        14114844        
0:30:03         16              55980201        20448589        14528404        
0:31:03         16              57773920        21072192        14966988        
0:32:03         16              59527603        21678969        15388153        
0:33:03         16              61392198        22361890        15864535        
0:34:03         16              63247496        23056562        16348954        
0:35:03         16              65196929        23799583        16880907        
0:36:03         16              67158503        24524571        17400543        
0:37:03         16              69050725        25184709        17864335        
0:38:03         16              71025169        25897606        18385136        
0:39:03         16              73007449        26608248        18901088        
0:40:03         16              74977002        27317319        19417846        
0:41:04         16              76861934        27987158        19898273        
0:42:04         16              78791279        28661411        20378422        
0:43:04         16              80738459        29348905        20870932        
0:44:04         16              82713478        30050303        21382282        
0:45:04         16              84660774        30714661        21863557        
0:46:04         16              86547284        31359294        22322892        
0:47:04         16              88366166        32003343        22789809        
0:48:04         16              90248119        32661743        23260488        
0:49:04         16              92106734        33305783        23726010        
0:50:04         16              93979411        33958111        24194755        
0:51:04         16              95948772        34667120        24705608        
0:52:04         17              97729343        35312982        25167219        
0:53:04         17              99566398        35997042        25655517        
0:54:04         17              101406638       36656680        26127274        
0:55:04         17              103260233       37318523        26597103        
0:56:04         17              105162314       38009147        27076175        
0:57:04         17              106989154       38642175        27506519        
0:58:04         17              108731558       39266290        27934785        
0:59:04         17              110627916       39980515        28435922        
1:00:04         17              112512102       40676890        28928520        
1:01:04         17              114429087       41394933        29446339        
1:02:04         17              116317556       42079268        29933309        
1:03:04         17              118309418       42821965        30471688        
1:04:04         17              120231157       43504309        30956125        
1:05:04         17              122121495       44205931        31464998        
1:06:04         17              124125827       44951071        32012304        
1:07:04         17              126084340       45676093        32522479        
1:08:04         17              127896439       46305363        32959990        
1:09:04         17              129776876       46989952        33423817        
1:10:04         17              131613139       47616521        33846607        
1:11:04         17              133449237       48270471        34282562        
1:12:04         17              135230117       48876955        34700108        
1:13:04         17              137168853       49572381        35198468        
1:14:04         17              139015644       50197015        35618700        
1:15:04         17              140892278       50853469        36070015        
1:16:04         17              142779496       51524584        36545829        
1:17:04         17              144597960       52165577        36996229        
1:18:04         17              146464145       52821811        37468491        
1:19:04         17              148271741       53459059        37926959        
1:20:04         17              150107046       54090705        38367651        
1:21:04         17              151964259       54744524        38818170        
1:22:04         17              153844578       55468930        39330534        
1:23:04         17              155693584       56147473        39815139        
1:24:04         17              157583354       56848857        40332093        
1:25:04         17              159440971       57511133        40812251        
1:26:04         17              161351755       58194714        41303590        
1:27:04         17              163149809       58834173        41766398        
1:28:04         17              165064254       59493779        42239145        
1:29:04         17              167028741       60191454        42748094        
1:30:05         17              168960927       60871437        43237159        
1:31:05         17              170925300       61586625        43752972        
1:32:05         17              172815278       62252302        44218536        
1:33:05         17              174731453       62932873        44687377        
1:34:05         17              176672083       63621626        45178407        
1:35:05         17              178439764       64232272        45593168        
1:36:05         17              180375864       64932273        46095046        
1:37:05         17              182323945       65666644        46619249        
1:38:05         17              184315863       66450227        47209804        
1:39:05         17              186359238       67193339        47768434        errors: 0, warnings: 0, exit_state: 0

1:40:05         17              188211752       67820994        48196513        
1:41:05         17              190034330       68469850        48650743        
1:42:05         17              191821175       69071405        49062329        
1:43:05         17              193663595       69679589        49471189        
1:44:05         17              195317342       70234806        49852795        
1:45:05         17              197109623       70833942        50268072        
1:46:05         17              198964262       71464043        50701950        
1:47:05         17              200744524       72096924        51150118        
1:48:05         17              202596249       72742877        51604800        
1:49:05         17              204449919       73397466        52060048        
1:50:05         17              206231757       73990510        52463551        
1:51:05         17              208075117       74634789        52906256        
1:52:05         17              209977495       75344208        53402227        
1:53:05         17              211715784       75955399        53823162        
1:54:05         17              213605661       76649597        54303248        
1:55:05         17              215458991       77336329        54788016        
1:56:05         17              217337821       78022457        55251610        
1:57:05         17              219197409       78705128        55729621        
1:58:05         17              221116936       79415904        56227262        
1:59:05         17              223046634       80130864        56743264        
2:00:05         17              224990202       80856335        57262445        
2:01:05         17              226939168       81589664        57782389        
2:02:05         17              228776966       82251278        58242884        
2:03:05         17              230747125       82965090        58749353        
2:04:05         17              232709518       83683681        59275577        
2:05:05         17              234643965       84355044        59753001        
2:06:05         17              236488855       84980590        60190395        
2:07:05         17              238381959       85607741        60622764        
2:08:05         17              240354056       86276462        61090570        
2:09:05         17              242325519       86972047        61594592        
2:10:05         17              244265556       87672475        62111372        
2:11:05         17              246183506       88342841        62605719        
2:12:05         17              248043191       88968765        63049415        
2:13:05         17              250019747       89655685        63544903        
2:14:05         17              251982187       90341778        64036266        
2:15:05         17              253926580       91024831        64537704        
2:16:05         17              255885219       91699635        65020010        
2:17:05         17              257812738       92374421        65510394        
