Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         10              13931           6249            4435            
0:01:03         13              570077          227277          162149          
0:02:03         13              1099503         434221          310308          
0:03:03         13              1616259         625652          446757          
0:04:03         14              2111053         818887          585204          
0:05:03         14              2594404         1005130         718757          
0:06:03         14              3109421         1197635         857083          
0:07:03         14              3615971         1392403         995025          
0:08:03         14              4104960         1579039         1130328         
0:09:03         14              4595782         1763440         1264131         
0:10:03         14              5091269         1942936         1390495         
0:11:03         14              5573736         2116991         1513994         
0:12:03         14              6066217         2294059         1639331         
0:13:03         15              6559316         2483260         1771673         
0:14:03         15              6998781         2652067         1893944         
0:15:03         15              7447335         2822368         2018830         
0:16:03         15              7904896         2986318         2136016         
0:17:03         15              8350936         3157903         2258457         
0:18:03         15              8787826         3332947         2386048         
0:19:03         15              9262116         3507167         2510588         
0:20:03         15              9752510         3687355         2638705         
0:21:03         15              10238146        3862007         2763937         
0:22:03         15              10725481        4039461         2891437         
0:23:03         15              11210327        4223932         3025873         
0:24:03         15              11667693        4400931         3153538         
0:25:03         15              12176081        4584117         3280266         
0:26:03         15              12643972        4762569         3407194         
0:27:03         15              13105363        4938474         3532316         
0:28:03         15              13559835        5109582         3655815         
0:29:03         15              14024541        5284254         3782123         
0:30:03         15              14486642        5461380         3913843         
0:31:03         15              14950743        5625757         4032313         
0:32:03         15              15421670        5800514         4158722         
0:33:03         15              15882607        5972148         4283336         
0:34:03         15              16351795        6144482         4409121         
0:35:03         15              16812823        6310766         4528741         
0:36:03         15              17296100        6481994         4648112         
0:37:03         15              17762393        6645044         4761589         
0:38:03         15              18206926        6809667         4879031         
0:39:03         15              18653867        6969814         4994726         
0:40:03         15              19109782        7132061         5109677         
0:41:03         15              19575077        7294420         5222398         
0:42:03         15              20039868        7458005         5338489         
0:43:03         15              20503065        7615371         5448808         
0:44:03         15              20976161        7784029         5569913         
0:45:03         15              21437715        7949993         5687521         
0:46:03         15              21905261        8125356         5812356         
0:47:03         16              22351305        8298475         5935995         
0:48:03         16              22804067        8469684         6057772         
0:49:03         16              23285051        8649099         6179169         
0:50:03         16              23724374        8805119         6288757         
0:51:03         16              24128146        8958444         6399352         
0:52:03         16              24534621        9115065         6514013         
0:53:03         16              24948114        9262930         6621263         
0:54:03         16              25384972        9426266         6742282         
0:55:03         16              25820372        9585594         6856553         
0:56:03         16              26235783        9738273         6968057         
0:57:03         16              26653631        9891412         7081200         
0:58:03         16              27073089        10041923        7189845         
0:59:03         16              27513685        10201783        7307214         
1:00:03         16              27961616        10359318        7420347         
1:01:03         16              28389898        10507925        7524997         
1:02:03         16              28814058        10664736        7638251         
1:03:03         16              29246062        10817554        7746851         
1:04:03         16              29657642        10977179        7860609         
1:05:03         16              30064968        11137643        7974641         
1:06:03         16              30488256        11305508        8096425         
1:07:03         16              30902168        11464727        8213555         
1:08:03         16              31310121        11624435        8329019         
1:09:03         16              31714431        11778756        8442449         
1:10:03         16              32148315        11931617        8552599         
1:11:04         16              32581320        12087198        8663840         
